1970,Nuclear Electric Power Production,0.239347,Quadrillion Btu
1971,Nuclear Electric Power Production,0.412939,Quadrillion Btu
1972,Nuclear Electric Power Production,0.583752,Quadrillion Btu
1973,Nuclear Electric Power Production,0.910177,Quadrillion Btu
1974,Nuclear Electric Power Production,1.272083,Quadrillion Btu
1975,Nuclear Electric Power Production,1.899798,Quadrillion Btu
1976,Nuclear Electric Power Production,2.111121,Quadrillion Btu
1977,Nuclear Electric Power Production,2.701762,Quadrillion Btu
1978,Nuclear Electric Power Production,3.024126,Quadrillion Btu
1979,Nuclear Electric Power Production,2.775827,Quadrillion Btu
1980,Nuclear Electric Power Production,2.739169,Quadrillion Btu
1981,Nuclear Electric Power Production,3.007589,Quadrillion Btu
1982,Nuclear Electric Power Production,3.131148,Quadrillion Btu
1983,Nuclear Electric Power Production,3.202549,Quadrillion Btu
1984,Nuclear Electric Power Production,3.552531,Quadrillion Btu
1985,Nuclear Electric Power Production,4.075563,Quadrillion Btu
1986,Nuclear Electric Power Production,4.380109,Quadrillion Btu
1987,Nuclear Electric Power Production,4.753933,Quadrillion Btu
1988,Nuclear Electric Power Production,5.586968,Quadrillion Btu
1989,Nuclear Electric Power Production,5.602161,Quadrillion Btu
1990,Nuclear Electric Power Production,6.10435,Quadrillion Btu
1991,Nuclear Electric Power Production,6.422132,Quadrillion Btu
1992,Nuclear Electric Power Production,6.479206,Quadrillion Btu
1993,Nuclear Electric Power Production,6.410499,Quadrillion Btu
1994,Nuclear Electric Power Production,6.693877,Quadrillion Btu
1995,Nuclear Electric Power Production,7.075436,Quadrillion Btu
1996,Nuclear Electric Power Production,7.086674,Quadrillion Btu
1997,Nuclear Electric Power Production,6.596992,Quadrillion Btu
1998,Nuclear Electric Power Production,7.067809,Quadrillion Btu
1999,Nuclear Electric Power Production,7.610256,Quadrillion Btu
2000,Nuclear Electric Power Production,7.862349,Quadrillion Btu
2001,Nuclear Electric Power Production,8.028853,Quadrillion Btu
2002,Nuclear Electric Power Production,8.145429,Quadrillion Btu
2003,Nuclear Electric Power Production,7.959622,Quadrillion Btu
2004,Nuclear Electric Power Production,8.222774,Quadrillion Btu
2005,Nuclear Electric Power Production,8.16081,Quadrillion Btu
2006,Nuclear Electric Power Production,8.214626,Quadrillion Btu
2007,Nuclear Electric Power Production,8.458589,Quadrillion Btu
2008,Nuclear Electric Power Production,8.426491,Quadrillion Btu
2009,Nuclear Electric Power Production,8.35522,Quadrillion Btu
2010,Nuclear Electric Power Production,8.434433,Quadrillion Btu
2011,Nuclear Electric Power Production,8.268698,Quadrillion Btu
2012,Nuclear Electric Power Production,8.061822,Quadrillion Btu
2013,Nuclear Electric Power Production,8.244433,Quadrillion Btu
2014,Nuclear Electric Power Production,8.337559,Quadrillion Btu
2015,Nuclear Electric Power Production,8.336886,Quadrillion Btu
2016,Nuclear Electric Power Production,8.426753,Quadrillion Btu
2017,Nuclear Electric Power Production,8.418968,Quadrillion Btu
2018,Nuclear Electric Power Production,8.441226,Quadrillion Btu
1949,Total Renewable Energy Production,2.973984,Quadrillion Btu
1950,Total Renewable Energy Production,2.977718,Quadrillion Btu
1951,Total Renewable Energy Production,2.958464,Quadrillion Btu
1952,Total Renewable Energy Production,2.940181,Quadrillion Btu
1953,Total Renewable Energy Production,2.83146,Quadrillion Btu
1954,Total Renewable Energy Production,2.754099,Quadrillion Btu
1955,Total Renewable Energy Production,2.783987,Quadrillion Btu
1956,Total Renewable Energy Production,2.850582,Quadrillion Btu
1957,Total Renewable Energy Production,2.849194,Quadrillion Btu
1958,Total Renewable Energy Production,2.91509,Quadrillion Btu
1959,Total Renewable Energy Production,2.901339,Quadrillion Btu
1960,Total Renewable Energy Production,2.928204,Quadrillion Btu
1961,Total Renewable Energy Production,2.952226,Quadrillion Btu
1962,Total Renewable Energy Production,3.117444,Quadrillion Btu
1963,Total Renewable Energy Production,3.096431,Quadrillion Btu
1964,Total Renewable Energy Production,3.225248,Quadrillion Btu
1965,Total Renewable Energy Production,3.395816,Quadrillion Btu
1966,Total Renewable Energy Production,3.432462,Quadrillion Btu
1967,Total Renewable Energy Production,3.690213,Quadrillion Btu
1968,Total Renewable Energy Production,3.772656,Quadrillion Btu
1969,Total Renewable Energy Production,4.094892,Quadrillion Btu
1970,Total Renewable Energy Production,4.070021,Quadrillion Btu
1971,Total Renewable Energy Production,4.262213,Quadrillion Btu
1972,Total Renewable Energy Production,4.382009,Quadrillion Btu
1973,Total Renewable Energy Production,4.410938,Quadrillion Btu
1974,Total Renewable Energy Production,4.741852,Quadrillion Btu
1975,Total Renewable Energy Production,4.68712,Quadrillion Btu
1976,Total Renewable Energy Production,4.727151,Quadrillion Btu
1977,Total Renewable Energy Production,4.208966,Quadrillion Btu
1978,Total Renewable Energy Production,5.00544,Quadrillion Btu
1979,Total Renewable Energy Production,5.122854,Quadrillion Btu
1980,Total Renewable Energy Production,5.428342,Quadrillion Btu
1981,Total Renewable Energy Production,5.413688,Quadrillion Btu
1982,Total Renewable Energy Production,5.979637,Quadrillion Btu
1983,Total Renewable Energy Production,6.495612,Quadrillion Btu
1984,Total Renewable Energy Production,6.437864,Quadrillion Btu
1985,Total Renewable Energy Production,6.084017,Quadrillion Btu
1986,Total Renewable Energy Production,6.11114,Quadrillion Btu
1987,Total Renewable Energy Production,5.621807,Quadrillion Btu
1988,Total Renewable Energy Production,5.456754,Quadrillion Btu
1989,Total Renewable Energy Production,6.234658,Quadrillion Btu
1990,Total Renewable Energy Production,6.040024,Quadrillion Btu
1991,Total Renewable Energy Production,6.067785,Quadrillion Btu
1992,Total Renewable Energy Production,5.820556,Quadrillion Btu
1993,Total Renewable Energy Production,6.081909,Quadrillion Btu
1994,Total Renewable Energy Production,5.987142,Quadrillion Btu
1995,Total Renewable Energy Production,6.557308,Quadrillion Btu
1996,Total Renewable Energy Production,7.010889,Quadrillion Btu
1997,Total Renewable Energy Production,7.01681,Quadrillion Btu
1998,Total Renewable Energy Production,6.492735,Quadrillion Btu
1999,Total Renewable Energy Production,6.515588,Quadrillion Btu
2000,Total Renewable Energy Production,6.101667,Quadrillion Btu
2001,Total Renewable Energy Production,5.161772,Quadrillion Btu
2002,Total Renewable Energy Production,5.730902,Quadrillion Btu
2003,Total Renewable Energy Production,5.942467,Quadrillion Btu
2004,Total Renewable Energy Production,6.062671,Quadrillion Btu
2005,Total Renewable Energy Production,6.220812,Quadrillion Btu
2006,Total Renewable Energy Production,6.586243,Quadrillion Btu
2007,Total Renewable Energy Production,6.510367,Quadrillion Btu
2008,Total Renewable Energy Production,7.191546,Quadrillion Btu
2009,Total Renewable Energy Production,7.624932,Quadrillion Btu
2010,Total Renewable Energy Production,8.313762,Quadrillion Btu
2011,Total Renewable Energy Production,9.299548,Quadrillion Btu
2012,Total Renewable Energy Production,8.886018,Quadrillion Btu
2013,Total Renewable Energy Production,9.417903,Quadrillion Btu
2014,Total Renewable Energy Production,9.766386,Quadrillion Btu
2015,Total Renewable Energy Production,9.728519,Quadrillion Btu
2016,Total Renewable Energy Production,10.428154,Quadrillion Btu
2017,Total Renewable Energy Production,11.300653,Quadrillion Btu
2018,Total Renewable Energy Production,11.729442,Quadrillion Btu
1949,Total Primary Energy Production,31.724359,Quadrillion Btu
1950,Total Primary Energy Production,35.542567,Quadrillion Btu
1951,Total Primary Energy Production,38.752868,Quadrillion Btu
1952,Total Primary Energy Production,37.919148,Quadrillion Btu
1953,Total Primary Energy Production,38.18342,Quadrillion Btu
1954,Total Primary Energy Production,36.521204,Quadrillion Btu
1955,Total Primary Energy Production,40.149918,Quadrillion Btu
1956,Total Primary Energy Production,42.623789,Quadrillion Btu
1957,Total Primary Energy Production,42.98515,Quadrillion Btu
1958,Total Primary Energy Production,40.137454,Quadrillion Btu
1959,Total Primary Energy Production,41.950988,Quadrillion Btu
1960,Total Primary Energy Production,42.805388,Quadrillion Btu
1961,Total Primary Energy Production,43.280848,Quadrillion Btu
1962,Total Primary Energy Production,44.87647,Quadrillion Btu
1963,Total Primary Energy Production,47.172561,Quadrillion Btu
