"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=0000000g&c=00000000000000000000000000000000000000000000000001&tl_id=3002-A&vs=INTL.26-2-WORL-BCF.A&vo=0&v=H&start=1980&end=2017"
"Sat Nov 30 2019 11:57:48 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"","Natural Gas","bcf"
"","Consumption",""
"","Gross Natural Gas",""
"","Dry Natural Gas",""
"","World","bcf",52943.893,53529.458,53647.855,54639.712,59693.727,62166.943,63147.596,66257.609,69571.085,72670.497,73396.382450735,75157.106762448,75378.201379145,77335.39911248,77085.732661089,79104.279416199,80931.475911418,81334.1759985,81840.58354,83930.470779,87063.626349341,87250.6043235,91299.579301884,93815.749714859,96525.860911357,99220.535130628,102650.50291323,106161.62860003,109281.19248806,105615.16824723,115607.7598407,119053.29382065,121617.73222919,123193.31689055,123639.80548994,125330.12860026,127884.26963653,132290.21126384
