"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=00000000000000000000000000000000000000jg08o0000000008&c=00000000000000000000000000000000000000000000000001&tl_id=1-A&vs=INTL.7-2-WORL-TST.A&vo=0&v=H&start=1980&end=2017&s=INTL.7-2-WORL-TST.A"
"Sat Nov 30 2019 11:56:03 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"","Coal and Coke","Mst"
"","Consumption",""
"","Total Primary Coal",""
"","World","Mst",4125414.2033347,4193264.0107652,4295660.9385573,4409744.6025816,4621857.9681853,4807595.070451,4881077.5475934,5036668.3695654,5191729.5625269,5159853.2327467,5286415.0874881,4892091.6835324,4777391.2897818,4782858.6443632,4811996.6049809,4950507.4355415,5055309.7557191,4984496.3560847,4961783.2407428,4999750.0044146,5260871.8982174,5352147.2381744,5505185.5997049,5965618.5617426,6359635.0029341,6766967.3623875,7141403.9932534,7486861.3941998,7609665.6946912,7649951.8207672,8094879.5366679,8601711.1058253,8907447.5442983,9043632.9080336,8939108.8184141,8701376.7773418,8558325.5667943,8475389.8022906
