"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=00000000100000000000000000000000000000000000000000000000002&c=00000000000000000000000000000000000000000000000001&vs=INTL.44-2-WORL-QBTU.A&vo=0&v=H&start=1980&end=2016&showdm=y"
"Sat Nov 30 2019 11:59:42 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"","Primary Energy","quad Btu"
"","Consumption",""
"","Consumption",""
"","World","quad Btu",293.56161586266,291.28649583772,291.68838961647,295.56349653282,309.21930923525,317.77173278391,325.05442312096,335.06806230945,347.99485756742,352.75797500946,359.52715479421,352.95614574552,351.78747638488,354.81657102121,358.74221897925,368.76353001331,378.52663554237,379.72547007445,382.27150650055,390.18259601367,403.2263501672,406.81170621275,415.95203786975,431.19152516769,451.73302637685,466.94046051484,482.11296993837,495.48505280108,502.24402880144,496.80880121983,526.3006558969,541.95164137395,554.04076977418,564.92479977825,570.71805639585,574.22828602419,581.07905172258
"","Nuclear, Renewables, and Other",""
"","World","quad Btu",28.158818269744,29.776901268609,31.355150322229,33.801719921126,36.691464642076,39.228857172126,40.575551388986,41.941006392988,44.309938573115,45.248392403311,46.295498276977,47.827031685093,48.036819322643,49.966040817355,50.738259042171,52.91511016235,54.374724805752,54.458656848211,54.813575681171,56.272422202733,57.36048797098,57.678317445396,58.270334119739,58.156011355497,60.968307363715,62.83418705076,64.502077248643,64.891902381373,66.824977605031,67.46233247275,71.492268252064,72.305681554272,72.538720054636,76.255715796579,79.173865598828,81.111095145637,85.087432487948
