"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=0000001001vg0000000000000000000000000000000000g&c=4100000002000060000000000000g000200000000000000001&tl_id=5-A&vs=INTL.5-2-AFRC-TBPD.A&cy=2016&vo=0&v=H&end=2018&s=INTL.5-2-WORL-TBPD.A"
"Sat Nov 30 2019 10:06:54 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
,,,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"","Pinned Series:",""
"","Total Petroleum Consumption, World, Annual",""
"","undefined",""
"","Petroleum and Other Liquids (annual)","Mb/d"
"","Consumption",""
"","Consumption",""
"","World","Mb/d",57236.746,56676.674,56197.716,59672.753,61826.273,64158.489,65220.26,63113.271,60946.834,59618.720000005,58848.420000023,59635.611896181,59913.251099169,61795.755473973,63061.658330137,64955.308221538,66045.626496164,66659.397596301,66955.386543014,67235.971815355,67004.301711644,68421.38605274,69850.154950029,71906.465262159,73127.697278036,73951.074051129,75603.982633613,77288.237372764,78101.722807618,78839.541042213,80474.596777606,83621.961781625,84919.616353679,86127.526342889,87549.757455308,87040.136050918,86070.909327699,88850.652768338,89650.209492121,91006.316495238,92406.867116236,94039.680757266,96061.232584196,97103.871480183,-,-
